source_timestamp,actual_temp,predicted_temp,predicted_for,prediction_horizon_sec,threshold,trend,trend_slope,is_anomaly,window_avg,ingested_at
2026-04-19T07:35:49.846421,28.36,31.27,2026-04-19T07:36:49.846421,60.0,35.0,falling,-0.12,0,33.52,2026-04-19T07:35:49.847477Z
2026-04-19T07:35:52.170678,27.2,31.37,2026-04-19T07:36:52.170678,60.0,35.0,falling,-0.12,0,33.14,2026-04-19T07:35:52.171277Z
2026-04-19T07:35:55.975599,26.65,31.61,2026-04-19T07:36:55.975599,60.0,35.0,falling,-0.12,0,32.75,2026-04-19T07:35:55.976701Z
2026-04-19T07:36:00.767588,27.05,31.07,2026-04-19T07:37:00.767588,60.0,35.0,falling,-0.12,0,32.35,2026-04-19T07:36:00.768622Z
2026-04-19T07:36:05.557124,26.06,30.69,2026-04-19T07:37:05.557124,60.0,35.0,falling,-0.12,0,31.92,2026-04-19T07:36:05.558288Z
2026-04-19T07:36:07.600566,25.54,30.34,2026-04-19T07:37:07.600566,60.0,35.0,falling,-0.12,0,31.48,2026-04-19T07:36:07.601872Z
2026-04-19T07:36:10.387022,25.8,29.72,2026-04-19T07:37:10.387022,60.0,35.0,falling,-0.12,0,31.0,2026-04-19T07:36:10.388219Z
2026-04-19T07:36:14.116375,25.23,29.0,2026-04-19T07:37:14.116375,60.0,35.0,falling,-0.12,0,30.5,2026-04-19T07:36:14.117653Z
2026-04-19T07:36:17.164936,25.57,28.49,2026-04-19T07:37:17.164936,60.0,35.0,falling,-0.12,0,30.04,2026-04-19T07:36:17.166023Z
2026-04-19T07:36:21.172584,25.2,27.84,2026-04-19T07:37:21.172584,60.0,35.0,falling,-0.12,0,29.14,2026-04-19T07:36:21.173709Z
2026-04-19T07:36:25.345560,24.93,27.36,2026-04-19T07:37:25.345560,60.0,35.0,falling,-0.12,0,28.7,2026-04-19T07:36:25.346883Z
2026-04-19T07:36:28.199101,25.0,26.86,2026-04-19T07:37:28.199101,60.0,35.0,falling,-0.12,0,28.27,2026-04-19T07:36:28.200196Z
2026-04-19T07:36:31.872873,25.29,26.51,2026-04-19T07:37:31.872873,60.0,35.0,falling,-0.12,0,27.88,2026-04-19T07:36:31.874418Z
2026-04-19T07:36:36.409369,30.96,27.64,2026-04-19T07:37:36.409369,60.0,35.0,falling,-0.12,1,27.81,2026-04-19T07:36:36.410355Z
2026-04-19T07:36:38.432483,25.91,25.72,2026-04-19T07:37:38.432483,60.0,35.0,falling,-0.12,0,27.51,2026-04-19T07:36:38.433752Z
2026-04-19T07:36:40.899290,25.75,25.05,2026-04-19T07:37:40.899290,60.0,35.0,falling,-0.12,0,27.22,2026-04-19T07:36:40.900592Z
2026-04-19T07:36:43.610187,26.54,25.13,2026-04-19T07:37:43.610187,60.0,35.0,falling,-0.12,0,27.01,2026-04-19T07:36:43.611514Z
2026-04-19T07:36:47.690324,27.14,25.38,2026-04-19T07:37:47.690324,60.0,35.0,falling,-0.12,0,26.89,2026-04-19T07:36:47.691573Z
2026-04-19T07:36:51.738573,27.37,25.63,2026-04-19T07:37:51.738573,60.0,35.0,falling,-0.1174,0,26.53,2026-04-19T07:36:51.739451Z
2026-04-19T07:36:54.168856,28.4,26.05,2026-04-19T07:37:54.168856,60.0,35.0,falling,-0.0844,0,26.5,2026-04-19T07:36:54.169221Z
2026-04-19T07:36:57.470505,29.12,26.36,2026-04-19T07:37:57.470505,60.0,35.0,stable,-0.0128,0,26.54,2026-04-19T07:36:57.471367Z
2026-04-19T07:37:00.295461,29.25,27.2,2026-04-19T07:38:00.295461,60.0,35.0,stable,0.0351,0,26.64,2026-04-19T07:37:00.296578Z
2026-04-19T07:37:02.462274,30.49,27.98,2026-04-19T07:38:02.462274,60.0,35.0,stable,0.0587,0,26.83,2026-04-19T07:37:02.463380Z
2026-04-19T07:37:04.542701,30.71,29.42,2026-04-19T07:38:04.542701,60.0,35.0,rising,0.12,0,27.01,2026-04-19T07:37:04.543682Z
2026-04-19T07:37:08.561732,31.06,29.06,2026-04-19T07:38:08.561732,60.0,35.0,rising,0.12,0,27.26,2026-04-19T07:37:08.563010Z
